date,temperature,humidity,luminosity
2023-12-07 16:43:49.720,21.3,34.8,132
2023-12-07 16:43:48.712,21.3,34.8,131
2023-12-07 16:43:47.709,21.3,34.8,128
2023-12-07 16:43:46.701,21.3,34.8,126
2023-12-07 16:43:45.701,21.3,34.8,126
2023-12-07 16:43:44.693,21.3,34.8,126
2023-12-07 16:43:43.694,21.3,34.8,126
2023-12-07 16:43:42.686,21.3,34.8,128
2023-12-07 16:43:41.687,21.3,34.8,126
2023-12-07 16:43:40.679,21.3,34.8,133
2023-12-07 16:43:39.675,21.3,34.8,149
2023-12-07 16:43:38.668,21.3,34.8,126
2023-12-07 16:43:37.669,21.3,34.8,127
2023-12-07 16:43:36.661,21.3,34.8,127
2023-12-07 16:43:35.661,21.3,34.8,136
2023-12-07 16:43:34.654,21.3,34.8,139
2023-12-07 16:43:33.654,21.3,34.8,138
2023-12-07 16:43:32.646,21.3,34.8,138
2023-12-07 16:43:31.643,21.3,34.8,138
2023-12-07 16:43:30.639,21.3,34.8,138
2023-12-07 16:43:29.636,21.3,34.8,150
2023-12-07 16:43:28.628,21.3,34.8,150
2023-12-07 16:43:27.628,21.3,34.8,149
2023-12-07 16:43:26.620,21.3,34.8,149
2023-12-07 16:43:25.621,21.3,34.8,149
2023-12-07 16:43:24.613,21.3,34.8,149
2023-12-07 16:43:23.610,21.3,34.8,149
2023-12-07 16:43:22.606,21.3,34.8,151
2023-12-07 16:43:21.602,21.3,34.8,152
2023-12-07 16:43:20.595,21.3,34.8,150
2023-12-07 16:43:19.595,21.3,34.8,151
2023-12-07 16:43:18.588,21.3,34.9,149
2023-12-07 16:43:17.587,21.3,34.9,152
2023-12-07 16:43:16.579,21.3,34.9,146
2023-12-07 16:43:15.576,21.3,34.9,145
2023-12-07 16:43:14.572,21.3,34.9,149
2023-12-07 16:43:13.569,21.3,34.9,149
2023-12-07 16:43:12.561,21.3,34.9,149
2023-12-07 16:43:11.561,21.3,34.9,143
2023-12-07 16:43:10.553,21.3,34.9,143
2023-12-07 16:43:09.554,21.3,34.9,145
2023-12-07 16:43:08.546,21.3,34.9,148
2023-12-07 16:43:07.543,21.3,34.9,149
2023-12-07 16:43:06.535,21.3,34.9,149
2023-12-07 16:43:05.536,21.3,34.9,146
2023-12-07 16:43:04.528,21.3,34.9,144
2023-12-07 16:43:03.528,21.3,34.9,145
2023-12-07 16:43:02.521,21.3,34.9,145
2023-12-07 16:43:01.521,21.3,34.9,145
2023-12-07 16:43:00.513,21.3,34.9,144
2023-12-07 16:42:59.510,21.3,34.9,143
2023-12-07 16:42:58.502,21.3,34.9,144
2023-12-07 16:42:57.502,21.3,34.9,146
2023-12-07 16:42:56.495,21.3,34.9,146
2023-12-07 16:42:55.495,21.3,34.9,143
2023-12-07 16:42:54.488,21.3,34.9,149
2023-12-07 16:42:53.488,21.3,34.9,149
2023-12-07 16:42:52.481,21.3,34.9,149
2023-12-07 16:42:51.477,21.3,34.9,149
2023-12-07 16:42:50.469,21.3,34.9,148
2023-12-07 16:42:49.470,21.3,34.9,150
2023-12-07 16:42:48.462,21.3,35.0,151
2023-12-07 16:42:47.462,21.3,35.0,152
2023-12-07 16:42:46.455,21.3,34.9,160
2023-12-07 16:42:45.455,21.3,34.9,152
2023-12-07 16:42:44.448,21.3,35.0,161
2023-12-07 16:42:43.444,21.3,35.0,164
2023-12-07 16:42:42.436,21.3,34.9,164
2023-12-07 16:42:41.437,21.3,34.9,164
2023-12-07 16:42:40.429,21.3,34.9,161
2023-12-07 16:42:39.429,21.3,34.9,144
2023-12-07 16:42:38.422,21.3,34.9,150
2023-12-07 16:42:37.422,21.3,34.9,139
2023-12-07 16:42:36.414,21.3,34.9,151
2023-12-07 16:42:35.411,21.3,34.9,154
2023-12-07 16:42:34.403,21.3,35.0,155
2023-12-07 16:42:33.403,21.3,35.0,156
2023-12-07 16:42:32.396,21.3,35.0,157
2023-12-07 16:42:31.397,21.3,35.0,157
2023-12-07 16:42:30.389,21.3,35.0,153
2023-12-07 16:42:29.385,21.3,35.0,143
2023-12-07 16:42:28.382,21.3,35.0,142
2023-12-07 16:42:27.378,21.3,35.0,138
2023-12-07 16:42:26.370,21.3,35.0,137
2023-12-07 16:42:25.371,21.3,35.0,137
2023-12-07 16:42:24.363,21.3,35.1,137
2023-12-07 16:42:23.363,21.3,35.1,138
2023-12-07 16:42:22.356,21.3,35.1,138
2023-12-07 16:42:21.352,21.3,35.1,134
2023-12-07 16:42:20.349,21.3,35.1,133
2023-12-07 16:42:19.345,21.3,35.1,132
2023-12-07 16:42:18.337,21.3,35.2,133
2023-12-07 16:42:17.337,21.3,35.2,131
2023-12-07 16:42:16.329,21.3,35.2,131
2023-12-07 16:42:15.330,21.3,35.2,128
2023-12-07 16:42:14.322,21.3,35.2,127
2023-12-07 16:42:13.318,21.3,35.2,128
2023-12-07 16:42:12.315,21.3,35.1,127
2023-12-07 16:42:11.312,21.3,35.1,130
2023-12-07 16:42:10.304,21.3,35.1,128
2023-12-07 16:42:09.304,21.3,35.1,127
2023-12-07 16:42:08.296,21.3,35.1,128
2023-12-07 16:42:07.297,21.3,35.1,128
2023-12-07 16:42:06.289,21.3,35.0,130
2023-12-07 16:42:05.286,21.3,35.0,130
2023-12-07 16:42:04.278,21.3,35.0,143
2023-12-07 16:42:03.278,21.3,35.0,143
2023-12-07 16:42:02.271,21.3,35.0,143
2023-12-07 16:42:01.271,21.3,35.0,142
2023-12-07 16:42:00.263,21.3,35.0,146
2023-12-07 16:41:59.264,21.3,35.0,149
2023-12-07 16:41:58.256,21.3,35.0,149
2023-12-07 16:41:57.253,21.3,35.0,151
2023-12-07 16:41:56.245,21.3,34.9,148
2023-12-07 16:41:55.245,21.3,34.9,150
2023-12-07 16:41:54.237,21.3,34.9,154
2023-12-07 16:41:53.238,21.3,34.9,160
2023-12-07 16:41:52.230,21.3,34.9,161
2023-12-07 16:41:51.231,21.3,34.9,157
2023-12-07 16:41:50.223,21.3,34.9,156
